season	week	work	work_name
1	1	1	ビギナーズ！
1	2	1	ビギナーズ！
1	3	1	ビギナーズ！
1	4	1	ビギナーズ！
1	5	1	ビギナーズ！
1	6	1	ビギナーズ！
1	7	2	エントリーライブ
2	1	3	探索！旬なアイドル大百科
2	1	4	明日のアイドル一番星
2	2	3	探索！旬なアイドル大百科
2	3	3	探索！旬なアイドル大百科
2	4	5	歌ウンジャNIGHT
2	4	6	アイドル十八番うた自慢
2	5	7	とどけ！オトメ☆ファンファーレ
2	5	8	フェイバリットに煌めいて♥
2	6	9	大捜索！アイドル百科
2	7	9	大捜索！アイドル百科
2	8	10	爆アド街角天国
2	9	10	爆アド街角天国
2	9	11	今がキラキラ！思いッきりアイドル
2	10	10	爆アド街角天国
2	10	12	Rhythmic Diva
3	1	13	ヒートチャートX
3	1	14	NEW BE@T
3	2	13	ヒートチャートX
3	2	15	ハッピー☆元気Show☆パーリータイム
3	3	13	ヒートチャートX
3	4	16	アイドル☆ウォー！
3	5	16	アイドル☆ウォー！
3	5	17	夕方ワイド　アイドル一番！
3	6	16	アイドル☆ウォー！
3	6	18	スマイルアリーナ
3	7	19	24:05pm
3	7	20	HOPPING JAM
3	8	19	24:05pm
3	8	21	iDOLBuffet アイドルビュッフェ
3	9	19	24:05pm
3	9	22	Dreaming My Way
3	10	23	月曜日は出張中
3	11	23	月曜日は出張中
3	11	24	POP-ON!
3	12	23	月曜日は出張中
3	12	25	SPOT LIGHTのせいにして・・・
3	13	26	TOP VOCALIST
3	13	27	TOP DANCER
3	13	28	TOP EXPRESSER
3	14	29	ラブレターのAnswer──
3	14	30	踊っていいとも？ 増刊号
4	1	31	O・NE・GA・I マリオネットガール
4	2	31	O・NE・GA・I マリオネットガール
4	3	31	O・NE・GA・I マリオネットガール
4	3	32	なんどでも唄おう
4	3	33	アイドルの女神様
4	4	34	Sweet Sweet Live Time
4	4	35	トップスターは1曲だけ
4	5	34	Sweet Sweet Live Time
4	5	36	LET'S SAY HELLO!!
4	6	34	Sweet Sweet Live Time
4	7	37	ステージあったまってますか？
4	8	37	ステージあったまってますか？
4	9	37	ステージあったまってますか？
4	9	38	流星スターランキング
4	9	39	オールアイドル感謝FESTIVAL
4	10	40	HIGH POWER NO LIMIT!!
4	11	40	HIGH POWER NO LIMIT!!
4	11	41	なないろ歌合戦
4	12	40	HIGH POWER NO LIMIT!!
4	12	42	THE LEGEND
4	13	43	七彩メモリーズ
4	14	44	YEAH! YEAH! MUSIC SUNDAY
4	15	45	#プライムアイドル
4	16	46	お料理アイドルごはん
4	17	47	週刊プリズムメロディーズ
4	18	48	TOP SONGS
4	18	49	歌姫楽宴
4	19	50	エキシビションマッチ
